id,user_location,text,user_name,user_followers,id_str,created,retweet_count,polarity,time
1,"Algonac, MI","RT @dbongino: The far left are the most angry, hate-filled, out of control, lunatics you’ll ever come across. Many are gleeful that a poten…",vaughn_shirley,3475,1252803382449975296,2020-04-22T03:36:16,0,0.12,2020-04-21T21:36:22.192054
2,"Portland, OR",RT @BernieWdveWon: @DaveyJonsen57 @nodank_ @DNC We have been completely turned off by this criminality &amp; it's people like you willing to tu…,psychwriter1515,4815,1252803382709850117,2020-04-22T03:36:17,0,0.175,2020-04-21T21:36:22.343611
3,Australia,@thebunker1959 @csander11 @jbrown6500 @seanhannity How about now? There should be millions of tests happening daily… https://t.co/NgfdCFNrjy,katelhunter,3940,1252803382940581896,2020-04-22T03:36:17,0,0.0,2020-04-21T21:36:22.347660
4,Texan who lives in MN,"RT @JoyceWhiteVance: The Russians, who were undoubtedly on the Russians' side, thought that Trump would be good for their side. They don't…",ScottZPinkRose,1926,1252803383125323776,2020-04-22T03:36:17,0,0.7,2020-04-21T21:36:22.400819
5,Cape Coral,"RT @thehill: President Trump: ""I want Harvard to pay the money back, okay? If they won't do that, then we won't do something else."" https:/…",TDeyuca,37,1252803383116759042,2020-04-22T03:36:17,0,0.25,2020-04-21T21:36:22.403176
6,"California, USA","RT @MrMichaelBurkes: From the start i was accused of being a bot and a parody account. I don't transmit propaganda. I speak facts, and the…",bonartgl,14695,1252803383385190401,2020-04-22T03:36:17,0,-0.1,2020-04-21T21:36:22.405668
7,"Ontario, Canada","RT @RepAdamSchiff: In 2016, Russia sought to help the Trump campaign, hurt Hillary Clinton, and sow discord in the United States.

The inte…",DeniseKeirstea1,308,1252803383448211457,2020-04-22T03:36:17,0,0.0,2020-04-21T21:36:22.409455
8,United States,RT @joncoopertweets: So where are Jared Kushner’s buddies reselling all the masks he’s stolen? I wonder how many are piled up in bunkers fo…,mcnary_ann,139,1252803384593264640,2020-04-22T03:36:17,0,0.5,2020-04-21T21:36:22.647121
9,Georgia ,"RT @dansiddons4: Throwback: “All my friends up there in the press, you all know why in your hearts Trump won the Republican nomination. You…",SaltySandlapper,12961,1252803384689807361,2020-04-22T03:36:17,0,0.0,2020-04-21T21:36:22.649712
10,"Chandler, AZ","RT @JoeBiden: The Trump Administration promised 27 million tests by the end of March.

As of now, only 4 million have been completed. It’s…",Swtx2cee,89,1252803384849035265,2020-04-22T03:36:17,0,0.0,2020-04-21T21:36:22.693540
11,"Connecticut, USA","RT @MrRJHolland: Trump’s Own Advisers Call Lack Of Virus Testing The Final Nail In His Coffin.

https://t.co/QRAOSaDrc1",picbykap,7332,1252803384912097280,2020-04-22T03:36:17,0,0.3,2020-04-21T21:36:22.707344
12,"Luhlvull, KY",@miles_commodore My original guy was Scott Walker; first to drop out. D’OH!  We’ve known who Donald Trump was since… https://t.co/yfLfwL8Bbx,samuelmiller64,185,1252803384970706950,2020-04-22T03:36:17,0,0.34375,2020-04-21T21:36:22.749295
13,"Bessemer,al",RT @JimInhofe: Our farmers and ranchers are instrumental to Oklahoma’s economy and they’ve been hit hard by #COVID19. This funding will bri…,cjj1988,553,1252803385058787329,2020-04-22T03:36:17,0,-0.2916666666666667,2020-04-21T21:36:22.757315
14,"VICTORIA,TX","RT @jsolomonReports: MLK's niece embraces Trump coronavirus immigration ban, calls it a 'human right' that will help black workers https://…",therealmobstar,5513,1252803385033662465,2020-04-22T03:36:17,0,0.03968253968253968,2020-04-21T21:36:22.763166
15,"lagos, Nigeria",RT @BBCWorld: Coronavirus: Harvard rejects Trump demand to pay back aid https://t.co/ZXkK6Z3k5v,SAIDI4REAL,829,1252803385172070400,2020-04-22T03:36:17,0,0.0,2020-04-21T21:36:22.767861
16,"El Cajon, CA","RT @JoeBiden: The Trump Administration promised 27 million tests by the end of March.

As of now, only 4 million have been completed. It’s…",JoyeDLC,147,1252803385465556995,2020-04-22T03:36:17,0,0.0,2020-04-21T21:36:22.827571
17,"California, USA","RT @benstracy: President Trump blasted #harvarduniversity for getting #coronavirus aid but school says: “Harvard did not apply for, nor has…",Nellethiell,1369,1252803385432010752,2020-04-22T03:36:17,0,-0.6,2020-04-21T21:36:22.830613
