id,user_location,text,user_name,user_followers,id_str,created,retweet_count,polarity,time
1,Earth,"RT @kylegriffin1: Joe Biden: ""For President Trump to say in tonight’s briefing that ramping up testing is not needed and that 'not everybod…",ReligionTroll,942,1252802781926141952,2020-04-22T03:33:53,0,0.0,2020-04-21T21:33:58.968039
2,"St Louis, MO",RT @OhNoSheTwitnt: The collective noun for a group of Trump supporters is now called a Klandemic.,shandoddmueller,137,1252802783310462976,2020-04-22T03:33:54,0,0.0,2020-04-21T21:33:59.315397
3,"Daniel Island, SC","RT @Defeat_Trump2: GO TO these two important websites for REAL TIME UPDATES on the COVID-19 PANDEMIC.

Websites show GLOBAL OUTBREAKS and c…",caroleannesr,908,1252802783478251525,2020-04-22T03:33:54,0,0.20000000000000004,2020-04-21T21:33:59.320757
4,Pittsburgh,"RT @bopinion: Just days after the Trump administration set out careful benchmarks for states to meet before reopening their economies, four…",Pghrules1010,2621,1252802783771791360,2020-04-22T03:33:54,0,-0.1,2020-04-21T21:33:59.382122
5,"Louisville, KY",RT @FredTJoseph: Fuck Donald Trump and everyone who voted for him.,lissette_562,49,1252802783813742592,2020-04-22T03:33:54,0,-0.4,2020-04-21T21:33:59.432633
6,Santa Fe,How different would America be if @RodRosenstein tweeted this two years ago instead of four hours ago… https://t.co/VZTsos2CxA,sallydenton,789,1252802783876710400,2020-04-22T03:33:54,0,0.0,2020-04-21T21:33:59.485249
7,"Nova Scotia, Canada","RT @maeganvaz: CNN's fact check of Tuesday evening's White House coronavirus press briefing, with @ddale8 and @DavidWright_7 

https://t.co…",PauliticalEye,337,1252802784044384257,2020-04-22T03:33:54,0,0.0,2020-04-21T21:33:59.528566
8,Mid-South,RT @MattWalshBlog: My only problem with Trump suspending immigration is that he didn't do it 2 months ago. But anyone complaining that the…,cbinflux,7909,1252802784312930304,2020-04-22T03:33:54,0,0.0,2020-04-21T21:33:59.537951
9,"Croswell, MI",RT @soledadobrien: The. Cruelty. Is. The. Point. https://t.co/KXENA9nldQ,BoonieKane,6454,1252802784963035136,2020-04-22T03:33:54,0,0.0,2020-04-21T21:33:59.736379
10,Wakanda,"RT @kylegriffin1: Joe Biden: ""For President Trump to say in tonight’s briefing that ramping up testing is not needed and that 'not everybod…",asil09,9782,1252802785294286848,2020-04-22T03:33:54,0,0.0,2020-04-21T21:33:59.738991
11,Spokane Wa.,"RT @TomthunkitsMind: TRUMP IS LIKE A HOMEOWNER WHO UPON NEWS OF A POTENTIAL FLOOD, PUTS SANDBAGS ONLY IN FRONT OF HIS FRONT DOOR. THEN RELA…",grwaltonsr,4158,1252802785743011840,2020-04-22T03:33:54,0,0.0,2020-04-21T21:33:59.847875
12,"Brooklyn, NY","RT @RadioFreeTom: He will deny ever saying anything about any of it, and his courtiers and scribes will duly memory-hole it all.",Functional_Choc,40,1252802785461956608,2020-04-22T03:33:54,0,0.0,2020-04-21T21:33:59.899799
13,Charlotte NC area,"RT @Education4Libs: In 2015, Dr Fauci gave $3.7M to the level 4 bio-lab in Wuhan.

In 2017, Dr Fauci said there was “no question” a surpris…",countken1,17593,1252802786376454150,2020-04-22T03:33:54,0,0.0,2020-04-21T21:34:00.000711
